Profundidade [m],Densidade Aparente Seca [g/cm3]
2520.0,1.8537149999999998
2520.2,1.8793229999999999
2520.4,1.9748230000000002
2520.6,2.010643
2520.8,1.989542
2521.0,1.9316899999999997
2521.2,1.8722469999999998
2521.4,1.901591
2521.6,1.9584870000000003
2521.8,1.9363850000000002
2522.0,1.9239389999999998
2522.2,1.9447429999999999
2522.4,1.980193
2522.6,1.964766
2522.8,1.8978719999999998
2523.0,1.850052
2523.2,1.878313
2523.4,1.861199
2523.6,1.860095
2523.8,1.8981409999999999
2524.0,1.907622
2524.2,1.814492
2524.4,1.7304150000000003
2524.6,1.6902049999999997
2524.8,1.7076740000000001
2525.0,1.7705350000000002
2525.2,1.8205459999999998
2525.4,1.869427
2525.6,1.867487
2525.8,1.8549510000000002
2526.0,1.8636320000000002
2526.2,1.835519
2526.4,1.7428979999999998
2526.6,1.7930889999999997
2526.8,1.8104329999999997
2527.0,1.8084310000000001
2527.2,1.8027590000000002
2527.4,1.8194560000000002
2527.6,1.864947
2527.8,1.8530259999999998
2528.0,1.841809
2528.2,1.8508869999999997
2528.4,1.8849019999999999
2528.6,1.860258
2528.8,1.8472209999999998
2529.0,1.9208370000000001
2529.2,1.943664
2529.4,1.914269
2529.6,1.937249
2529.8,1.925833
2530.0,1.8114729999999999
2530.2,1.740461
2530.4,1.692571
2530.6,1.7244229999999998
2530.8,1.8446690000000001
2531.0,1.9155779999999998
2531.2,1.988565
2531.4,1.9973269999999999
2531.6,1.9654669999999999
2531.8,1.8498740000000002
2532.0,1.745865
2532.2,1.7420449999999998
2532.4,1.747217
2532.6,1.7033999999999998
2532.8,1.7427750000000002
2533.0,1.8117930000000002
2533.2,1.9016860000000002
2533.4,1.9252330000000002
2533.6,1.937761
2533.8,1.937385
2534.0,2.0227150000000003
2534.2,2.032732
2534.4,1.9838890000000002
2534.6,1.8666669999999999
2534.8,1.80155
2535.0,1.748634
2535.2,1.766844
2535.4,1.868524
2535.6,1.921958
2535.8,1.954302
2536.0,1.9642950000000001
2536.2,1.979552
2536.4,1.889153
2536.6,1.8230469999999999
2536.8,1.7819969999999998
2537.0,1.8204639999999999
2537.2,1.8703790000000002
2537.4,1.816294
2537.6,1.742693
2537.8,1.776084
2538.0,1.8602459999999998
2538.2,2.02547
2538.4,2.0911210000000002
2538.6,2.004134
2538.8,1.8737689999999998
2539.0,1.761176
2539.2,1.685206
2539.4,1.70991
2539.6,1.7132210000000003
2539.8,1.7234530000000001
2540.0,1.761687
2540.2,1.7730100000000002
2540.4,1.814126
2540.6,1.873752
2540.8,1.9380319999999998
2541.0,1.9139319999999997
2541.2,1.8060249999999998
2541.4,1.6975099999999999
2541.6,1.698374
2541.8,1.7403849999999998
2542.0,1.804319
2542.2,1.800365
