Depth(m) COT DT GR NPHI RHOB
4894.704600000001 2.5555577810224497 64.66 84.90475 15.62949 2.645099
4894.9046 2.3944918259582972 64.28374 80.35619 15.24074 2.641555
4895.104600000001 2.5106950249408126 64.65867 83.63845 14.50707 2.64632
4895.3046 2.7701174608614303 65.79845 90.96426 13.28478 2.645747
4895.5046 2.345555831167824 66.6087 78.96362 11.7343 2.635885
4895.704600000001 1.917564864664068 67.1098 66.86361 10.98288 2.656942
4895.9046 2.4137762147214734 66.5311 80.88709 10.36414 2.656576
4896.104600000001 2.8595063128902694 66.87897 93.48019 9.652623 2.635848
4896.3046 2.946958156882344 67.58614 95.95041 9.502628 2.643436
4896.5046 2.6696128892313915 66.23524 88.12151 9.612427 2.658517
4896.704600000001 2.4433419561866794 63.95409 81.74423 10.06756 2.638958
4896.9046 2.3985969797421407 63.47659 80.48485 10.08308 2.632383
4897.104600000001 2.362667236218842 63.55505 79.46803 9.819618 2.659831
4897.3046 2.5277616637308764 63.55033 84.13309 9.368002 2.656701
4897.5046 2.7121983408490045 63.32881 89.35126 9.065172 2.62259
4897.704600000001 2.7752379992886316 63.98239 91.13416 8.790855 2.636432
4897.9046 2.7074409487688498 64.92119 89.20178 9.261374 2.640162
4898.104600000001 2.3296436987736766 65.27391 78.52868 9.758451 2.643081
4898.3046 2.407000879045134 65.11812 80.71393 9.703668 2.635663
4898.5046 3.2984924442549794 64.82786 105.9074 9.508971 2.654888
4898.704600000001 3.632301598352343 63.75941 115.3487 9.224212 2.643628
4898.9046 3.18403081817316 63.55811 102.6824 9.098186 2.640011
4899.104600000001 2.7970185820919857 65.00619 91.7365 9.39795 2.656189
4899.3046 2.657425091428798 65.7933 87.78287 9.509906 2.654997
4899.5046 2.6093021400822427 65.48559 86.43158 8.92343 2.641413
4899.704600000001 2.379159769737071 65.45119 79.9302 8.876607 2.642689
4899.9046 1.9426938707114612 67.04653 67.59289 8.948953 2.652431
4900.104600000001 1.851809593123892 65.0267 65.04185 8.865705 2.654365
4900.3046 2.428587041360052 64.92229 81.34573 8.110718 2.662862
4900.5046 2.966304403089082 66.87167 96.53323 7.465564 2.669393
4900.704600000001 2.9340029359921345 66.88106 95.62643 17.91299 2.749218
4900.9046 2.5775140384969473 65.84342 85.56112 17.00548 2.761361
4901.104600000001 2.057428900719525 63.43525 70.88593 16.92163 2.812403
4901.3046 2.0305861334384656 62.3627 70.13778 16.38287 2.852763
4915.104600000001 2.067848774516087 69.48314 70.62263 31.48359 2.558837
4915.3046 1.8992147086830098 69.44253 65.83083 19.87141 2.568681
4915.5046 1.488260121426087 69.17995 54.20944 12.61269 2.587476
4915.704600000001 1.5941496324444875 68.5711 57.21303 10.86093 2.5897
4915.9046 2.010978876130859 69.11585 69.00027 14.14049 2.552687
