Unnamed: 0,Profundidade [m],COₘₐ [%],qCO [%],rCO [%],COT [%],IH [mg HC/g COT],IO  [mg CO₂/g COT],δ¹³C [‰],of,of_class
163,1962.1,0.07970743574568409,0.22652933925138985,0.018877444937615784,0.3251142199346897,291.61502382373317,123.93463086640844,-19.799985227295338,-99.0,??
164,1962.6,0.07976176566777878,0.2384762207458069,0.019873018395483832,0.3381110048090695,288.44408906523955,125.2101304658924,-19.82207488516349,-99.0,??
165,1963.1,0.07981615317971408,0.2513063693253361,0.020942197443777955,0.3520647199488281,285.2964573151281,126.4762564957125,-19.84400220746765,-99.0,??
166,1963.6,0.07987059824554246,0.1831759933525694,0.015264666112714096,0.278311257710826,305.92879439984114,118.17695685938976,-19.700271319911216,-99.0,??
167,1964.1,0.07992510119503103,0.2171048068006085,0.018092067233384024,0.3151219752290236,294.51258396039714,122.76909544064924,-19.779799976905093,-99.0,??
168,1964.6,0.0799796618000691,0.2487076360120301,0.020725636334335832,0.3494129341464351,286.0455991330237,126.17491630379496,-19.838783466713764,-99.0,??
169,1965.1,0.08003428039156299,0.2982239740699581,0.024851997839163142,0.4031102523006843,275.65473154529235,130.35461360312954,-19.911169285864247,-99.0,??
170,1965.6,0.08008895693245535,0.2506127469493871,0.02088439557911553,0.35158609946095803,285.6677056642724,126.32692289010168,-19.841415983012933,-99.0,??
171,1966.1,0.08014369156269219,0.28977712852441506,0.02414809404370121,0.3940689141308085,277.3090704667958,129.68916041897424,-19.89964467764704,-99.0,??
172,1966.6,0.08019848424567315,0.3201083372256308,0.02667569476880249,0.4269825162401065,271.98664533978575,131.83009097568166,-19.93672224594756,-99.0,??
173,1967.1,0.08025333531407568,0.235202060920364,0.019600171743363648,0.3350555679778033,289.68268969717144,124.71190684091309,-19.81344643132308,-99.0,??
174,1967.6,0.08981427726697297,0.3202709704722269,0.0266892475393522,0.4367744952785521,278.0813032034438,129.37853196985068,-19.894265078807468,-99.0,??
175,1968.1,0.08989123059092087,0.2706840652190161,0.02255700543491796,0.3831323012448549,288.0051907415804,125.38667608372386,-19.8251323791036,-99.0,??
176,1968.6,0.08996659089282386,0.25045595440436497,0.020871329533697025,0.3612938748308858,292.9311070705918,123.40524007722263,-19.79081700692397,-99.0,??
177,1969.1,0.09004374633291523,0.21584060753989487,0.017986717294991184,0.3238710711678013,302.86186668632445,119.41061991718635,-19.721636434319986,-99.0,??
178,1969.6,0.09011930623902148,0.2814836586538973,0.023456971554491446,0.3950599364474103,285.7780078735412,126.28255413626093,-19.840647585600045,-99.0,??
179,1970.1,0.0901966645167638,0.24851263394740197,0.02070938616228346,0.3594186846264492,293.59494271161265,123.13821405532886,-19.786192533919106,-99.0,??
180,1970.6,0.09027242474387198,0.13755246120023568,0.011462705100019621,0.2392875910441273,336.82957410156405,105.74720502431471,-19.48500746131495,-99.0,??
181,1971.1,0.09034998658527076,0.2411573139623284,0.020096442830194017,0.3516037433777932,295.6535310596136,122.31015267489694,-19.77185180610156,-99.0,??
